SECTION	METRIC	STAT	MOTHER	FATHER	PROBAND
CANDIDATE_COUNT	SNV_candidates_analyzed	count			210
DEPTH_DP	DP	min	12.0	10.0	3.0
DEPTH_DP	DP	25%	28.0	25.0	18.25
DEPTH_DP	DP	50%	34.0	33.0	31.0
DEPTH_DP	DP	75%	38.75	37.0	41.0
DEPTH_DP	DP	max	90.0	87.0	61.0
GENOTYPE_QUALITY_GQ	GQ	min	30.0	30.0	25.0
GENOTYPE_QUALITY_GQ	GQ	25%	64.0	56.0	99.0
GENOTYPE_QUALITY_GQ	GQ	50%	90.5	87.0	99.0
GENOTYPE_QUALITY_GQ	GQ	75%	99.0	99.0	99.0
GENOTYPE_QUALITY_GQ	GQ	max	99.0	99.0	99.0
PROBAND_ALT_ALLELE_FRACTION	P_VAF	min			0.3
PROBAND_ALT_ALLELE_FRACTION	P_VAF	25%			0.3529
PROBAND_ALT_ALLELE_FRACTION	P_VAF	50%			0.4348
PROBAND_ALT_ALLELE_FRACTION	P_VAF	75%			0.5
PROBAND_ALT_ALLELE_FRACTION	P_VAF	max			0.6667
PARENT_ALT_ALLELE_FRACTION	VAF	min	0.0	0.0	
PARENT_ALT_ALLELE_FRACTION	VAF	25%	0.0	0.0	
PARENT_ALT_ALLELE_FRACTION	VAF	50%	0.0	0.0	
PARENT_ALT_ALLELE_FRACTION	VAF	75%	0.0	0.0	
PARENT_ALT_ALLELE_FRACTION	VAF	max	0.1	0.25	
PARENT_ALT_SUPPORT	Candidates_with_any_parental_ALT_reads	count			21
